Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
280,"Harrison, Damon",NYG,DL,37,19.8,2,0.6,0,0.7,0,0,50.2
281,"Garrett, Myles",CLE,DL,35,21.3,3.4,0.7,0,0.4,0,0,50.2
282,"Jenkins, Jordan",NYJ,LB,29.9,27.4,3,2.5,0,0.5,0.4,0,50.1
283,"Smith, Jimmy",BAL,DB,37.8,7.8,0,7.2,0.4,0,0,0,49.8
284,"Pryor, Calvin",CLE,DB,38.1,13.3,0.3,3.6,0,1,0,0,49.8
285,"Carr, Brandon",BAL,DB,36.8,11.1,0.4,6,0.5,0,0,0,49.6
286,"Barnett, Derek",PHI,DL,33,21,3.8,2.1,0,0,0,0,49.5
287,"Allen, Nate",MIA,DB,32.3,19.1,0.6,4.6,1,0.3,0,0,49.4
288,"Peppers, Julius",CAR,DL,23,17.1,10.8,3.7,0,2.2,1,0,49.3
289,"Brockers, Michael",LAR,DL,32.8,11.2,4.5,5.2,0,0.7,0.4,0,49.2
290,"Golden, Markus",ARZ,LB,30.4,8.5,9,1,0,3.6,0.9,0,49.1
291,"Shead, Deshawn",SEA,DB,28.4,15.6,0,9.9,0.8,0.9,0.3,0,48.9
292,"Flowers, Marquis",CIN,LB,30.2,16.6,0.2,7.4,1.3,0,0,0,48.8
293,"Brown, Anthony",DAL,DB,33.9,14,0.7,5.3,0.7,0.2,0,0,48.5
294,"Hankins, Jonathan",IND,DL,31,23.2,3.6,0.5,0,0.9,0.9,0,48.5
295,"Waynes, Trae",MIN,DB,27.6,7.7,0.2,11.2,2.9,0,0,0,48.5
296,"Fowler, Dante",JAC,DL,31.6,9.5,4.3,7.2,0,0.6,0,0,48.4
297,"Johnson, Charles",CAR,DL,22,17.3,7.7,3.5,0.4,4.9,0.6,0,48.2
298,"Gholston, William",TBB,DL,36,12.9,3.5,0.4,0,1.1,0.4,0,47.9
299,"Sheard, Jabaal",IND,LB,30.5,14.3,6.8,2.9,0,0.2,0.2,0,47.8
300,"Beasley, Vic",ATL,LB,25.2,10.3,10.1,3,0,3.5,0.9,0.2,47.8
301,"Williams, Marcus",NYJ,DB,29.2,5.8,1.6,7.1,2.5,1.2,0.5,0,47.6
302,"Johnson, Michael",CIN,DL,32.2,14.4,4.2,2.8,0,1,0,0,47.3
303,"Fuller, Kyle",CHI,DB,35.9,5.6,0,5.2,1.4,0.4,0.3,0,47.3
304,"Reed, Brooks",ATL,DL,32,10.3,5.2,2.2,0,1.7,1.1,0,47.3
305,"Williams, K'Waun",SFO,DB,37.4,6,0,4.5,0.4,0.6,0.3,0.1,46.6
306,"Gilchrist, Marcus",HOU,DB,34.3,15.2,0,2.7,0.5,0.9,0,0,46.6
307,"Daniels, Mike",GBP,DL,33,14.4,3.7,1.5,0.5,0,0,0,46.4
308,"Short, Kawann",CAR,DL,27,15.7,6.7,2.3,0,2,0.4,0,46.3
309,"Wise, Deatrich",NEP,DL,26.5,17,5,2.4,0.3,1.7,1.2,0,46
310,"Stupar, Nathan",NOR,LB,33,9.3,1,1.2,1,2,2,0,45.9
311,"McPhee, Pernell",CHI,LB,32.9,6.1,6.7,2.5,0,0.8,0,0,45.9
312,"Ward, Jihad",OAK,DL,34.1,12.3,1.9,3.6,0,0,0,0,45.7
313,"Lane, Jeremy",SEA,DB,32.7,10.9,0,6.2,0.7,0,0,0,45.7
314,"Liuget, Corey",LAC,DL,34,13.1,1.1,3.1,0.5,0,0,0,45.7
315,"Smith, Preston",WAS,LB,28.8,12.2,6.3,3.6,0.1,0.3,0,0,45.4
316,"Bush, Rafael",NOR,DB,33.5,12.6,0.4,4.2,0.5,0,0,0,45.4
317,"Williams, Kyle",BUF,DL,32,18.7,4,0,0,0,0,0,45.3
318,"McCourty, Jason ",CLE,DB,35.5,4.1,0.3,5.1,1.2,0,0,0,45.3
319,"Gipson, Tashaun",JAC,DB,34.8,9.9,0,4,0.7,0,0,0.2,45.2
