Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Chris Moore,BAL ,1.1,8.2,0,16.2,181.1,0.8,0.2,23.3
,high,2,15,0,27,275,1.1,0.2,34.1
,low,0.3,1.3,0,4.7,64.4,0.3,0.2,8.1
Kenbrell Thompkins,NYJ ,0,0,0,18,199,0.7,0.4,23.3
,high,0,0,0,18,199,0.7,0.4,24.1
,low,0,0,0,18,199,0.7,0.4,24.1
Jordan Taylor,DEN ,0,0,0,13.4,181.2,1.1,1.5,21.6
,high,0,0,0,17,245,1.9,1.5,33.7
,low,0,0,0,6.3,75.5,0.3,1.5,9.3
Demarcus Robinson,KC ,0,0,0,12.2,159.5,0.9,0.1,21.2
,high,0,0,0,21,285,2,0.1,37.4
,low,0,0,0,2,27,0.2,0.1,3.9
Josh Bellamy,CHI ,0.1,0.3,0,12.6,167.1,0.8,0.4,20.9
,high,0.1,0.3,0,21,280,1.3,0.4,35.8
,low,0.1,0.3,0,4.1,54.1,0.4,0.4,7.5
Philly Brown,BUF ,0.9,3.6,0,11.6,131,1,0.2,19.1
,high,1,7,0,22.3,254.9,2.6,0.2,40.3
,low,0.8,0.1,0,6,76,0,0.2,8.3
Tajae Sharpe,TEN ,0,0.3,0,11.5,143.4,0.7,0.1,18.4
,high,0,0.6,0,19,233,2,0.1,35.3
,low,0,0,0,5.2,63.6,0,0.1,8.3
Jarius Wright,MIN ,0.1,0.5,0,14.9,168.4,0.3,0.2,18.3
,high,0.2,1,0,25.7,246,0.7,0.2,27.3
,low,0,0,0,8,95,0,0.2,9.5
Darrius Heyward-Bey,PIT ,0.4,9.4,0,8.4,134.5,0.6,0,18.2
,high,0.4,9.4,0,12,185,1,0,19.7
,low,0.4,9.4,0,5,86,0,0,14
