Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Damien Williams,MIA ,42.7,157,1.2,18.6,161.5,1.5,1.7,44.3
,high,64,237,2,24,247,3.4,1.7,79.6
,low,24,86,0,14,114.7,0,1.7,29.5
Alfred Morris,DAL ,67.1,281,1.7,6.3,40.3,0.2,0.6,42.3
,high,95.9,419.9,3,11,82,0.5,0.6,62.2
,low,40.6,166.9,1,3,17,0,0.6,30.2
James Conner,PIT ,55.6,226.5,2.1,9.8,74.7,0.2,0.9,41.6
,high,76,318,2.8,14,111,0.5,0.9,62.7
,low,22.2,88.2,0.8,4.3,35.7,0,0.9,22.7
Tarik Cohen,CHI ,45.4,199.1,1.2,15.7,127.1,0.3,1.9,37.8
,high,67.4,302,2.1,28,232,0.8,1.9,70.8
,low,20,86,0,10,75,0,1.9,17.1
Chris Johnson,ARI ,64.1,263.4,1.6,5.1,39.9,0.2,1.5,37.8
,high,85,344,2,13,94,0.6,1.5,57.6
,low,48.5,200,1,2,19.6,0,1.5,28.4
Zach Zenner,DET ,46.4,175.3,1.7,11.9,101.2,0.1,0.3,37.7
,high,72,265,3,19,166,0.4,0.3,61.1
,low,21,78,0.9,5,49,0,0.3,18.1
Marcel Reece,SEA ,10,20,0.1,26,278,1.1,0,37
,high,10,20,0.1,26,278,1.1,0,37
,low,10,20,0.1,26,278,1.1,0,37
Wendell Smallwood,PHI ,61.9,254.3,1.3,8.8,65.2,0.1,2.4,35.6
,high,87,375,2,12,89,0.2,2.4,58.4
,low,46,185,1,4.5,35.5,0,2.4,29.9
Kyle Juszczyk,SF ,6.3,25.3,0.3,27.5,217.7,1.5,0,34.9
,high,10,40.8,1,42.6,351.6,2,0,90.3
,low,3.8,11.9,0,4.7,33.9,1,0,9.2
Branden Oliver,LAC ,50.6,191.9,1,12.8,104.4,0.4,1.9,34
,high,80,304,1.6,21.4,167.5,0.9,1.9,59.5
,low,17.2,64.7,0.6,7.5,57.4,0,1.9,17
Orleans Darkwa,NYG ,45.1,168.9,1.6,10.7,76,0.3,1.5,32.7
,high,75,288,2.6,17,111,0.6,1.5,49.5
,low,7.2,32.6,0.1,4.1,30.1,0,1.5,7.9
Elijah McGuire,NYJ ,42.9,176.7,1,12.2,94.9,0.2,1.5,31.3
,high,111,469,2.8,26,206,0.7,1.5,88.5
,low,11.3,45.2,0,4.1,33.7,0,1.5,12.1
Chris Ivory,JAC ,55.9,218,1.7,10.2,78.9,0.1,4.8,30.5
,high,64,270.9,2,17,107.3,0.2,4.8,46.6
,low,41.5,151.3,1.1,4,32,0,4.8,32
Kenyan Drake,MIA ,41.7,178.1,1,9.8,71.7,0.2,1.3,29.5
,high,65.6,299,1.9,12,87.6,0.5,1.3,59.8
,low,22,103.1,0,8,60.8,0,1.3,17.8
Andre Ellington,ARI ,24.8,101.5,0.7,15,122.6,0.4,0.1,28.5
,high,36,147,1,29,215,1,0.1,48
,low,12,49,0.2,4,32,0,0.1,9.3
Wayne Gallman,NYG ,46.8,180.1,1.1,8.9,68.5,0.1,1.8,28.4
,high,62,226,1.5,21.9,176.1,0.3,1.8,40.4
,low,29,114,0.6,4,26,0,1.8,20
Jeremy Langford,CHI ,37.8,150.5,0.9,8.6,68.5,0.3,0.3,28.3
,high,73,301,2,15.4,119.1,1,0.3,58.6
